Orthogroup	Orthogroup	Amaranthus_Cruentus	Amaranthus_hypochondriacus	Atriplex_hortensis_longest	Beta_patula.longest	Beta_vulgaris_longest	Cquinoa_QQ74_v2.A	Cquinoa_QQ74_v2.B	Haloxylon_ammodendron	Salicornia_bigelovii.pro.B	Salicornia_bigelovii.pro.D	Salicornia_europaea_France.pro.A	Salicornia_europaea_France.pro.C	Spinacia_oleracea	Spinacia_tetrandra	Spinacia_turkestanica	Suaeda_glauca.A	Suaeda_glauca.B	at	kau3287.l	kau3288.l	kin3565.l	kin4237.l	
OG0000143	OG0000143	6	9	19	12	14	14	12	20	5	5	6	6	10	11	8	11	12	1	5	5	5	5	
OG0000144	OG0000144	12	11	3	0	1	0	2	10	27	29	25	27	6	1	1	2	0	0	13	8	8	14	
OG0000145	OG0000145	0	0	135	0	0	1	2	0	5	9	0	1	4	16	2	1	1	0	5	3	1	9	
OG0000146	OG0000146	0	0	2	0	0	0	0	0	0	0	1	0	109	2	0	33	34	0	1	1	5	7	
OG0000147	OG0000147	12	10	5	8	8	6	9	6	6	6	8	9	9	9	6	11	19	6	9	8	14	10	
OG0000148	OG0000148	1	2	25	1	1	11	10	25	2	1	2	2	14	40	25	16	11	0	1	2	1	1	
OG0000149	OG0000149	0	0	8	2	3	0	57	50	7	10	7	8	5	2	0	4	3	0	2	6	11	7	
OG0000150	OG0000150	1	0	0	0	1	0	0	6	3	5	1	5	82	19	1	19	17	0	2	3	23	3	
OG0000151	OG0000151	0	0	0	0	2	0	0	42	1	1	1	0	3	5	0	27	31	0	35	8	28	3	
OG0000152	OG0000152	7	4	32	5	7	28	19	16	5	3	2	2	3	3	1	7	9	3	7	7	8	8	
OG0000153	OG0000153	1	1	17	2	5	37	37	10	7	7	8	11	3	0	1	5	5	0	6	9	6	8	
OG0000154	OG0000154	0	0	5	0	0	2	9	29	11	14	14	10	10	1	2	1	0	0	11	22	23	22	
OG0000155	OG0000155	0	0	0	0	1	0	0	160	0	0	0	0	23	0	0	1	1	0	0	0	0	0	
OG0000156	OG0000156	0	0	52	1	0	5	7	26	8	7	1	1	31	0	0	2	1	0	12	10	11	10	
OG0000157	OG0000157	0	0	37	1	1	11	9	2	9	14	7	11	10	22	9	10	12	0	6	4	5	5	
OG0000158	OG0000158	0	0	0	0	0	0	0	15	8	14	13	4	20	3	22	37	36	0	0	6	0	6	
OG0000159	OG0000159	1	0	3	0	1	2	4	27	4	2	1	1	48	5	1	28	34	0	2	7	7	5	
OG0000160	OG0000160	8	0	26	0	3	16	7	3	3	4	4	3	38	2	1	23	21	0	5	8	5	2	
OG0000161	OG0000161	0	8	6	10	10	11	7	1	6	6	9	9	5	15	1	16	16	9	9	9	9	9	
OG0000162	OG0000162	8	8	9	7	7	8	9	8	7	5	8	7	8	9	9	9	10	11	8	8	8	8	
OG0000163	OG0000163	0	0	56	2	6	17	52	2	1	0	0	0	12	24	7	0	0	0	0	0	0	0	
OG0000164	OG0000164	0	0	14	7	8	4	4	15	5	5	26	11	7	12	3	0	0	0	28	22	3	5	
OG0000165	OG0000165	1	0	17	0	1	3	4	0	8	9	10	6	28	2	0	8	8	0	10	17	18	28	
OG0000166	OG0000166	0	2	35	0	0	0	1	4	5	1	9	4	12	12	12	28	32	0	6	0	4	11	
OG0000167	OG0000167	0	0	0	0	2	0	0	10	15	30	8	3	31	7	0	6	6	0	10	16	16	18	
OG0000168	OG0000168	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0000169	OG0000169	11	7	8	6	10	10	11	6	6	5	6	6	3	11	10	12	14	13	7	8	1	6	
OG0000170	OG0000170	0	0	22	0	1	0	3	5	29	6	2	2	15	0	0	20	22	0	2	36	8	4	
OG0000171	OG0000171	0	0	17	1	1	0	0	4	8	10	10	2	10	10	4	31	35	0	5	9	11	8	
OG0000172	OG0000172	17	15	20	12	15	15	17	0	1	2	2	2	1	15	3	3	4	22	2	2	3	2	
OG0000173	OG0000173	6	7	16	9	9	7	4	18	7	5	5	6	9	3	5	13	13	6	7	6	8	6	
OG0000174	OG0000174	13	4	12	0	2	2	8	5	6	5	6	2	38	0	7	22	16	0	2	14	5	6	
OG0000175	OG0000175	2	9	8	9	9	6	8	17	8	3	8	9	7	10	4	7	14	7	7	7	8	8	
OG0000176	OG0000176	0	0	1	2	3	0	1	4	7	6	5	6	95	10	1	4	7	0	8	7	5	3	
OG0000177	OG0000177	1	0	11	1	2	5	13	38	5	0	3	0	6	19	15	24	18	0	3	4	3	3	
OG0000178	OG0000178	0	0	1	0	0	0	0	18	12	5	9	11	4	3	6	30	32	0	13	11	5	14	
OG0000179	OG0000179	0	0	2	1	1	1	0	11	0	0	0	0	68	1	36	27	26	0	0	0	0	0	
OG0000180	OG0000180	0	0	5	0	0	0	0	8	2	1	2	0	55	25	32	21	19	0	1	1	0	1	
OG0000181	OG0000181	7	6	12	7	7	11	13	11	2	1	4	3	17	13	9	12	16	4	5	4	4	4	
OG0000182	OG0000182	0	0	3	1	4	0	1	0	22	11	15	2	12	15	0	31	24	0	0	17	7	7	
OG0000183	OG0000183	11	9	9	7	7	7	8	5	7	8	7	8	5	10	10	5	8	8	8	8	8	8	
OG0000184	OG0000184	13	16	12	13	10	9	11	31	1	2	2	4	7	9	4	8	10	0	2	2	4	1	
OG0000185	OG0000185	5	1	20	0	0	0	1	7	5	9	0	0	19	0	2	51	50	0	0	0	0	1	
OG0000186	OG0000186	3	2	5	9	11	5	5	11	6	2	12	6	4	3	3	15	12	0	14	15	13	13	
OG0000187	OG0000187	19	21	20	7	5	10	13	7	1	1	3	1	7	6	11	13	16	1	1	2	1	2	
OG0000188	OG0000188	5	8	7	6	8	8	11	7	7	5	9	6	12	6	10	5	6	2	9	9	11	10	
OG0000189	OG0000189	1	0	20	1	1	1	2	44	5	3	1	2	27	1	5	7	7	0	13	9	5	11	
OG0000190	OG0000190	10	4	11	11	13	14	14	12	3	4	5	6	2	4	7	21	5	0	7	3	5	5	
OG0000191	OG0000191	3	0	0	0	0	0	1	20	11	16	17	7	9	2	1	6	1	0	12	22	27	11	
OG0000192	OG0000192	0	0	0	0	0	0	1	0	13	9	3	0	11	50	2	18	21	0	6	10	17	5	
OG0000193	OG0000193	1	0	0	0	0	0	0	1	9	6	3	0	0	0	0	47	36	0	11	13	12	26	
OG0000194	OG0000194	4	0	33	1	0	1	1	47	1	0	2	1	15	2	2	15	22	0	5	9	0	2	
OG0000195	OG0000195	8	1	5	12	13	0	0	7	6	2	4	2	8	24	31	10	7	0	6	6	6	5	
OG0000196	OG0000196	2	0	0	0	0	0	0	0	13	6	7	6	37	4	0	17	18	0	9	17	16	11	
OG0000197	OG0000197	17	20	11	10	11	13	10	2	2	2	6	6	7	4	3	6	6	3	6	6	6	5	
OG0000198	OG0000198	6	1	9	0	0	0	0	2	6	6	15	12	9	0	0	19	16	0	12	25	14	9	
OG0000199	OG0000199	0	0	160	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
OG0000200	OG0000200	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OG0000201	OG0000201	1	1	7	5	4	4	4	7	13	10	13	11	4	4	5	14	13	1	8	5	13	13	
OG0000202	OG0000202	6	7	14	5	6	7	14	0	2	5	6	9	4	9	8	12	12	0	9	9	8	8	
OG0000203	OG0000203	10	8	5	10	9	9	4	6	6	6	6	6	2	5	8	14	8	13	6	6	6	6	
